miss_type,B1_sim,comp_mean,N,T.obs,B1_est,B1_pow,B0_est,B0_pow,B1_se,B0_se,conv,bias_mean,model_observations,B1_bias
block,0.3,0.4,20,20,0.129,0.242,-0.01,0.061,0.11,0.587,1000,0.673,100,-0.171
block,0.3,0.4,20,50,0.226,0.982,0.017,0.05,0.054,0.562,1000,0.438,340,-0.074
block,0.3,0.4,20,100,0.267,1,0.015,0.075,0.036,0.549,1000,0.311,740,-0.033
block,0.3,0.4,100,20,0.13,0.743,-0.012,0.061,0.049,0.265,1000,0.674,500,-0.17
block,0.3,0.4,100,50,0.228,1,-0.005,0.051,0.024,0.254,1000,0.437,1700,-0.072
block,0.3,0.4,100,100,0.266,1,0.012,0.057,0.016,0.25,1000,0.311,3700,-0.034
block,0.3,0.6,20,20,0.175,0.602,-0.016,0.067,0.078,0.571,1000,0.558,180,-0.125
block,0.3,0.6,20,50,0.253,1,0.018,0.056,0.042,0.557,1000,0.358,540,-0.047
block,0.3,0.6,20,100,0.278,1,0.018,0.071,0.029,0.548,1000,0.253,1140,-0.022
block,0.3,0.6,100,20,0.179,0.999,-0.009,0.058,0.035,0.258,1000,0.559,900,-0.121
block,0.3,0.6,100,50,0.253,1,-0.006,0.053,0.019,0.251,1000,0.357,2700,-0.047
block,0.3,0.6,100,100,0.278,1,0.012,0.057,0.013,0.249,1000,0.254,5700,-0.022
block,0.3,0.8,20,20,0.209,0.899,-0.017,0.067,0.063,0.564,1000,0.486,260,-0.091
block,0.3,0.8,20,50,0.264,1,0.016,0.049,0.036,0.555,1000,0.31,740,-0.036
block,0.3,0.8,20,100,0.284,1,0.019,0.071,0.025,0.547,1000,0.22,1540,-0.016
block,0.3,0.8,100,20,0.21,1,-0.01,0.054,0.028,0.255,1000,0.486,1300,-0.09
block,0.3,0.8,100,50,0.266,1,-0.006,0.052,0.016,0.25,1000,0.311,3700,-0.034
block,0.3,0.8,100,100,0.283,1,0.012,0.057,0.011,0.248,1000,0.22,7700,-0.017
block,0.3,1,20,20,0.23,0.992,-0.017,0.07,0.051,0.559,1000,0.433,380,-0.07
block,0.3,1,20,50,0.273,1,0.017,0.049,0.031,0.553,1000,0.277,980,-0.027
block,0.3,1,20,100,0.288,1,0.017,0.071,0.022,0.546,1000,0.197,1980,-0.012
block,0.3,1,100,20,0.23,1,-0.01,0.054,0.023,0.253,1000,0.434,1900,-0.07
block,0.3,1,100,50,0.273,1,-0.005,0.051,0.014,0.249,1000,0.277,4900,-0.027
block,0.3,1,100,100,0.287,1,0.012,0.058,0.01,0.248,1000,0.197,9900,-0.013
block,0.5,0.4,20,20,0.334,0.84,-0.015,0.062,0.105,0.809,1000,0.845,100,-0.166
block,0.5,0.4,20,50,0.415,1,0.024,0.049,0.051,0.785,1000,0.592,340,-0.085
block,0.5,0.4,20,100,0.461,1,0.021,0.074,0.033,0.769,1000,0.428,740,-0.039
block,0.5,0.4,100,20,0.339,1,-0.016,0.057,0.047,0.366,1000,0.845,500,-0.161
block,0.5,0.4,100,50,0.418,1,-0.007,0.049,0.023,0.354,1000,0.589,1700,-0.082
block,0.5,0.4,100,100,0.461,1,0.016,0.057,0.015,0.35,1000,0.428,3700,-0.039
block,0.5,0.6,20,20,0.365,0.997,-0.023,0.069,0.074,0.794,1000,0.729,180,-0.135
block,0.5,0.6,20,50,0.445,1,0.025,0.056,0.039,0.779,1000,0.489,540,-0.055
block,0.5,0.6,20,100,0.474,1,0.026,0.069,0.026,0.767,1000,0.35,1140,-0.026
block,0.5,0.6,100,20,0.37,1,-0.013,0.059,0.033,0.359,1000,0.73,900,-0.13
block,0.5,0.6,100,50,0.446,1,-0.009,0.052,0.018,0.352,1000,0.489,2700,-0.054
block,0.5,0.6,100,100,0.474,1,0.017,0.057,0.012,0.348,1000,0.351,5700,-0.026
block,0.5,0.8,20,20,0.396,1,-0.023,0.067,0.059,0.787,1000,0.649,260,-0.104
block,0.5,0.8,20,50,0.459,1,0.023,0.049,0.033,0.776,1000,0.426,740,-0.041
block,0.5,0.8,20,100,0.481,1,0.026,0.071,0.022,0.766,1000,0.305,1540,-0.019
block,0.5,0.8,100,20,0.399,1,-0.013,0.051,0.026,0.356,1000,0.649,1300,-0.101
block,0.5,0.8,100,50,0.46,1,-0.008,0.052,0.015,0.35,1000,0.428,3700,-0.04
block,0.5,0.8,100,100,0.481,1,0.017,0.058,0.01,0.348,1000,0.306,7700,-0.019
block,0.5,1,20,20,0.416,1,-0.023,0.07,0.048,0.781,1000,0.596,380,-0.084
block,0.5,1,20,50,0.468,1,0.024,0.05,0.029,0.774,1000,0.385,980,-0.032
block,0.5,1,20,100,0.485,1,0.023,0.071,0.02,0.765,1000,0.275,1980,-0.015
block,0.5,1,100,20,0.416,1,-0.014,0.055,0.021,0.354,1000,0.597,1900,-0.084
block,0.5,1,100,50,0.469,1,-0.008,0.051,0.013,0.349,1000,0.385,4900,-0.031
block,0.5,1,100,100,0.485,1,0.017,0.058,0.009,0.347,1000,0.275,9900,-0.015
block,0.7,0.4,20,20,0.565,0.997,-0.029,0.062,0.092,1.321,1000,1.165,100,-0.135
block,0.7,0.4,20,50,0.606,1,0.041,0.05,0.044,1.304,1000,0.916,340,-0.094
block,0.7,0.4,20,100,0.654,1,0.036,0.076,0.028,1.28,1000,0.691,740,-0.046
block,0.7,0.4,100,20,0.57,1,-0.024,0.063,0.041,0.598,1000,1.165,500,-0.13
block,0.7,0.4,100,50,0.61,1,-0.013,0.048,0.02,0.588,1000,0.912,1700,-0.09
block,0.7,0.4,100,100,0.655,1,0.027,0.057,0.013,0.583,1000,0.691,3700,-0.045
block,0.7,0.6,20,20,0.569,1,-0.039,0.074,0.065,1.31,1000,1.066,180,-0.131
block,0.7,0.6,20,50,0.638,1,0.041,0.057,0.034,1.297,1000,0.779,540,-0.062
block,0.7,0.6,20,100,0.67,1,0.043,0.07,0.022,1.278,1000,0.572,1140,-0.03
block,0.7,0.6,100,20,0.574,1,-0.021,0.056,0.029,0.593,1000,1.066,900,-0.126
block,0.7,0.6,100,50,0.639,1,-0.015,0.051,0.015,0.585,1000,0.781,2700,-0.061
block,0.7,0.6,100,100,0.67,1,0.029,0.057,0.01,0.58,1000,0.573,5700,-0.03
block,0.7,0.8,20,20,0.585,1,-0.039,0.073,0.052,1.304,1000,0.997,260,-0.115
block,0.7,0.8,20,50,0.653,1,0.039,0.051,0.028,1.293,1000,0.687,740,-0.047
block,0.7,0.8,20,100,0.678,1,0.043,0.069,0.019,1.276,1000,0.502,1540,-0.022
block,0.7,0.8,100,20,0.588,1,-0.022,0.052,0.023,0.591,1000,0.998,1300,-0.112
block,0.7,0.8,100,50,0.655,1,-0.014,0.052,0.013,0.583,1000,0.691,3700,-0.045
block,0.7,0.8,100,100,0.678,1,0.029,0.059,0.008,0.579,1000,0.502,7700,-0.022
block,0.7,1,20,20,0.599,1,-0.038,0.072,0.042,1.3,1000,0.957,380,-0.101
block,0.7,1,20,50,0.663,1,0.04,0.049,0.024,1.29,1000,0.632,980,-0.037
block,0.7,1,20,100,0.682,1,0.039,0.07,0.017,1.274,1000,0.455,1980,-0.018
block,0.7,1,100,20,0.6,1,-0.023,0.057,0.019,0.589,1000,0.957,1900,-0.1
block,0.7,1,100,50,0.664,1,-0.013,0.051,0.011,0.582,1000,0.633,4900,-0.036
block,0.7,1,100,100,0.682,1,0.028,0.058,0.007,0.579,1000,0.455,9900,-0.018
extreme_oneside,0.3,0.4,20,20,-0.053,0.056,1.753,0.843,0.139,0.572,1000,1.648,71.72,-0.353
extreme_oneside,0.3,0.4,20,50,0.053,0.106,1.85,0.907,0.076,0.558,1000,1.709,195.016,-0.247
extreme_oneside,0.3,0.4,20,100,0.086,0.388,1.871,0.917,0.051,0.549,1000,1.733,400.871,-0.214
extreme_oneside,0.3,0.4,100,20,-0.061,0.168,1.765,1,0.062,0.26,1000,1.647,357.621,-0.361
extreme_oneside,0.3,0.4,100,50,0.055,0.383,1.829,1,0.034,0.252,1000,1.712,974.868,-0.245
extreme_oneside,0.3,0.4,100,100,0.087,0.964,1.866,1,0.023,0.249,1000,1.733,2004.435,-0.213
extreme_oneside,0.3,0.6,20,20,0.043,0.076,1.19,0.545,0.088,0.563,1000,1.109,147.572,-0.257
extreme_oneside,0.3,0.6,20,50,0.111,0.557,1.263,0.615,0.052,0.555,1000,1.139,390.96,-0.189
extreme_oneside,0.3,0.6,20,100,0.131,0.943,1.276,0.647,0.036,0.547,1000,1.155,797.348,-0.169
extreme_oneside,0.3,0.6,100,20,0.042,0.191,1.198,0.997,0.04,0.256,1000,1.109,738.278,-0.258
extreme_oneside,0.3,0.6,100,50,0.113,0.997,1.241,0.997,0.023,0.25,1000,1.141,1954.389,-0.187
extreme_oneside,0.3,0.6,100,100,0.133,1,1.271,0.998,0.016,0.248,1000,1.156,3984.364,-0.167
extreme_oneside,0.3,0.8,20,20,0.119,0.445,0.653,0.23,0.066,0.561,1000,0.669,247.782,-0.181
extreme_oneside,0.3,0.8,20,50,0.166,0.983,0.708,0.248,0.039,0.554,1000,0.627,647.497,-0.134
extreme_oneside,0.3,0.8,20,100,0.181,1,0.717,0.273,0.027,0.547,1000,0.627,1314.003,-0.119
extreme_oneside,0.3,0.8,100,20,0.119,0.966,0.66,0.729,0.029,0.254,1000,0.672,1239.698,-0.181
extreme_oneside,0.3,0.8,100,50,0.167,1,0.688,0.783,0.018,0.25,1000,0.629,3236.826,-0.133
extreme_oneside,0.3,0.8,100,100,0.182,1,0.712,0.809,0.012,0.248,1000,0.628,6567.506,-0.118
extreme_oneside,0.3,1,20,20,0.23,0.992,-0.017,0.07,0.051,0.559,1000,0.433,380,-0.07
extreme_oneside,0.3,1,20,50,0.273,1,0.017,0.049,0.031,0.553,1000,0.277,980,-0.027
extreme_oneside,0.3,1,20,100,0.288,1,0.017,0.071,0.022,0.546,1000,0.197,1980,-0.012
extreme_oneside,0.3,1,100,20,0.23,1,-0.01,0.054,0.023,0.253,1000,0.434,1900,-0.07
extreme_oneside,0.3,1,100,50,0.273,1,-0.005,0.051,0.014,0.249,1000,0.277,4900,-0.027
extreme_oneside,0.3,1,100,100,0.287,1,0.012,0.058,0.01,0.248,1000,0.197,9900,-0.013
extreme_oneside,0.5,0.4,20,20,0.023,0.063,1.913,0.652,0.127,0.792,1000,1.77,82.222,-0.477
extreme_oneside,0.5,0.4,20,50,0.16,0.622,2.054,0.744,0.069,0.778,1000,1.861,225.474,-0.34
extreme_oneside,0.5,0.4,20,100,0.202,0.986,2.084,0.761,0.046,0.767,1000,1.897,464.616,-0.298
extreme_oneside,0.5,0.4,100,20,0.021,0.074,1.925,1,0.057,0.359,1000,1.769,410.563,-0.479
extreme_oneside,0.5,0.4,100,50,0.163,1,2.024,1,0.031,0.351,1000,1.864,1128.004,-0.337
extreme_oneside,0.5,0.4,100,100,0.205,1,2.077,1,0.021,0.348,1000,1.898,2323.459,-0.295
extreme_oneside,0.5,0.6,20,20,0.163,0.486,1.297,0.381,0.084,0.786,1000,1.218,158.359,-0.337
extreme_oneside,0.5,0.6,20,50,0.244,0.998,1.402,0.429,0.048,0.776,1000,1.242,421.603,-0.256
extreme_oneside,0.5,0.6,20,100,0.27,1,1.423,0.455,0.033,0.766,1000,1.264,860.703,-0.23
extreme_oneside,0.5,0.6,100,20,0.162,0.982,1.307,0.962,0.038,0.356,1000,1.219,791.955,-0.338
extreme_oneside,0.5,0.6,100,50,0.248,1,1.372,0.968,0.022,0.35,1000,1.245,2108.228,-0.252
extreme_oneside,0.5,0.6,100,100,0.272,1,1.416,0.976,0.015,0.347,1000,1.266,4302.875,-0.228
extreme_oneside,0.5,0.8,20,20,0.268,0.983,0.708,0.164,0.063,0.783,1000,0.801,253.772,-0.232
extreme_oneside,0.5,0.8,20,50,0.325,1,0.789,0.183,0.037,0.775,1000,0.707,665.971,-0.175
extreme_oneside,0.5,0.8,20,100,0.343,1,0.801,0.208,0.026,0.765,1000,0.691,1353.495,-0.157
extreme_oneside,0.5,0.8,100,20,0.269,1,0.718,0.528,0.028,0.355,1000,0.803,1269.534,-0.231
extreme_oneside,0.5,0.8,100,50,0.327,1,0.758,0.603,0.017,0.349,1000,0.709,3329.036,-0.173
extreme_oneside,0.5,0.8,100,100,0.345,1,0.794,0.622,0.011,0.347,1000,0.693,6764.537,-0.155
extreme_oneside,0.5,1,20,20,0.416,1,-0.023,0.07,0.048,0.781,1000,0.596,380,-0.084
extreme_oneside,0.5,1,20,50,0.468,1,0.024,0.05,0.029,0.774,1000,0.385,980,-0.032
extreme_oneside,0.5,1,20,100,0.485,1,0.023,0.071,0.02,0.765,1000,0.275,1980,-0.015
extreme_oneside,0.5,1,100,20,0.416,1,-0.014,0.055,0.021,0.354,1000,0.597,1900,-0.084
extreme_oneside,0.5,1,100,50,0.469,1,-0.008,0.051,0.013,0.349,1000,0.385,4900,-0.031
extreme_oneside,0.5,1,100,100,0.485,1,0.017,0.058,0.009,0.347,1000,0.275,9900,-0.015
extreme_oneside,0.7,0.4,20,20,0.136,0.228,2.158,0.364,0.116,1.308,1000,2.059,93.084,-0.564
extreme_oneside,0.7,0.4,20,50,0.315,0.995,2.416,0.449,0.061,1.294,1000,2.197,259.61,-0.385
extreme_oneside,0.7,0.4,20,100,0.375,1,2.479,0.484,0.041,1.277,1000,2.268,537.307,-0.325
extreme_oneside,0.7,0.4,100,20,0.136,0.714,2.17,0.962,0.052,0.593,1000,2.059,465.941,-0.564
extreme_oneside,0.7,0.4,100,50,0.325,1,2.365,0.976,0.027,0.584,1000,2.201,1297.527,-0.375
extreme_oneside,0.7,0.4,100,100,0.38,1,2.467,0.985,0.018,0.579,1000,2.27,2685.383,-0.32
extreme_oneside,0.7,0.6,20,20,0.317,0.967,1.45,0.217,0.078,1.304,1000,1.508,169.588,-0.383
extreme_oneside,0.7,0.6,20,50,0.429,1,1.64,0.25,0.043,1.292,1000,1.487,455.653,-0.271
extreme_oneside,0.7,0.6,20,100,0.462,1,1.683,0.265,0.029,1.276,1000,1.513,933.201,-0.238
extreme_oneside,0.7,0.6,100,20,0.319,1,1.463,0.694,0.035,0.591,1000,1.508,847.743,-0.381
extreme_oneside,0.7,0.6,100,50,0.433,1,1.59,0.777,0.019,0.583,1000,1.49,2277.949,-0.267
extreme_oneside,0.7,0.6,100,100,0.465,1,1.672,0.81,0.013,0.579,1000,1.516,4666.643,-0.235
extreme_oneside,0.7,0.8,20,20,0.447,1,0.775,0.105,0.058,1.301,1000,1.127,260.455,-0.253
extreme_oneside,0.7,0.8,20,50,0.524,1,0.917,0.117,0.033,1.291,1000,0.924,687.522,-0.176
extreme_oneside,0.7,0.8,20,100,0.546,1,0.942,0.131,0.023,1.275,1000,0.858,1400.336,-0.154
extreme_oneside,0.7,0.8,100,20,0.45,1,0.788,0.253,0.026,0.59,1000,1.128,1302.038,-0.25
extreme_oneside,0.7,0.8,100,50,0.526,1,0.866,0.336,0.015,0.582,1000,0.927,3436.623,-0.174
extreme_oneside,0.7,0.8,100,100,0.548,1,0.931,0.37,0.01,0.579,1000,0.861,6999.782,-0.152
extreme_oneside,0.7,1,20,20,0.599,1,-0.038,0.072,0.042,1.3,1000,0.957,380,-0.101
extreme_oneside,0.7,1,20,50,0.663,1,0.04,0.049,0.024,1.29,1000,0.632,980,-0.037
extreme_oneside,0.7,1,20,100,0.682,1,0.039,0.07,0.017,1.274,1000,0.455,1980,-0.018
extreme_oneside,0.7,1,100,20,0.6,1,-0.023,0.057,0.019,0.589,1000,0.957,1900,-0.1
extreme_oneside,0.7,1,100,50,0.664,1,-0.013,0.051,0.011,0.582,1000,0.633,4900,-0.036
extreme_oneside,0.7,1,100,100,0.682,1,0.028,0.058,0.007,0.579,1000,0.455,9900,-0.018
